phenotype,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.1710162e-14,1.8369515e-15,0.04761905,0.04761905,0.04761905,2.5733496e-15,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.1538592e-13,2.6249717e-14
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.6235332e-19,7.202456e-21,0.04761905,0.04761905,0.04761905,9.848722e-21,0.04761905,0.04761905,0.04761905,1.4911672e-20,0.04761905,0.04761905,0.04761905,3.116801e-19
Susceptible,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,7.6888185e-17,0.05263158,2.736289e-16,0.05263158,0.05263158,3.1054836e-18,0.05263158,4.790037e-18,0.05263158,0.05263158,0.05263158,1.8025285e-17,0.05263158,0.05263158,0.05263158,1.2868878e-17,0.05263158,0.05263158,0.05263158,5.6241474e-16
Susceptible,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,5.400141e-20,0.06666667,1.4980386e-20,2.40192e-18,7.523166e-20,0.06666667,8.3934074e-19,3.069377e-23,1.04732103e-19,1.5599332e-18,0.06666667,0.06666667,1.759488e-19,2.455148e-19,0.06666667,0.06666667,1.4369024e-18
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,5.731115e-14,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,2.0436644e-13,2.3413873e-14,0.04761905,0.04761905,0.04761905,1.9400715e-14,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.434115e-13
Susceptible,0.05882353,1.4069285e-21,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,3.4394735e-21,4.550956e-19,1.3798114e-20,0.05882353,0.05882353,1.6675136e-23,1.6321225e-20,0.05882353,5.788305e-25,0.05882353,2.4543906e-20,0.05882353,0.05882353,0.05882353,2.8553561e-19
Susceptible,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,2.1991413e-13,1.9046644e-14,0.045454547,0.045454547,0.045454547,1.9543076e-14,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,1.735839e-13
Susceptible,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,8.217449e-12,1.13302596e-10,1.4233728e-11,0.05263158,0.05263158,2.2626806e-13,2.120617e-11,0.05263158,0.05263158,0.05263158,2.1665711e-11,0.05263158,0.05263158,0.05263158,1.3427995e-10
Susceptible,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,4.0497167e-14,0.045454547,0.045454547,0.045454547,5.4578944e-14,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,2.9868103e-13,0.045454547,4.696027e-13
Susceptible,0.05,1.836312e-25,0.05,0.05,0.05,1.4397895e-23,7.181928e-23,0.05,0.05,0.05,0.05,0.05,0.05,3.0343783e-24,0.05,0.05,0.05,3.360455e-24,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.0732275e-22
Susceptible,0.05,0.05,0.05,0.05,0.05,3.7492426e-10,0.05,0.05,0.05,0.05,0.05,9.464015e-11,0.05,1.6986317e-10,0.05,0.05,0.05,2.2280913e-10,0.05,0.05,0.05,2.0796753e-10,0.05,0.05,0.05,1.4888795e-09
Susceptible,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,4.46808e-13,0.04347826,0.04347826,0.04347826,5.955018e-13,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,5.446611e-12
Susceptible,0.05,0.05,0.05,0.05,1.8634783e-12,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.4466657e-12,0.05,0.05,0.05,2.0467631e-12,0.05,0.05,0.05,2.7249383e-12,0.05,4.905923e-12,0.05,1.1981739e-11
Susceptible,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,3.9142756e-16,0.045454547,0.045454547,0.045454547,4.4230028e-16,4.927052e-15,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,5.376781e-15
